Hotel_Name,Hotel_Rating,Room_type,Room_price,Room_sqft,Facilities,Location
Hotel Kumkum,7.0,Deluxe Double Room,$141,160 feet²,[],"165, Lamington Road, 400007 Mumbai, India"
GCC Hotel and Club,7.2,Deluxe Double Room,$123,200 feet²,"['Free parking', 'Swimming pool', 'Restaurant', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'Fitness center', 'Minibar', 'Flat-screen TV']","Off.Mira Road East Next to W.E Highway, 401107 Mumbai, India"
Residency Hotel Andheri,7.3,Executive Double Room,$332,300 feet²,"['Free parking', 'Restaurant', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'Fitness center', 'Flat-screen TV', 'Airport shuttle', 'Family rooms']","Suren Road, Opp, Cinemax Theatre,Andheri-Kurla Road, 400093 Mumbai, India"
Four Seasons Hotel Mumbai,8.5,Deluxe King Room,"$1,250",527 feet²,"['Free parking', 'Pet friendly', 'Swimming pool', 'Restaurant', 'Spa', 'Air conditioning', 'Private Bathroom', 'View', 'Free WiFi', 'Bathtub']","114 Dr E Moses Road, Worli, Worli, 400018 Mumbai, India"
ibis Mumbai Airport - An Accor Brand,6.5,Standard Queen Room,$478,192 feet²,"['City view', 'Pet friendly', 'Free WiFi', 'Air conditioning', 'Private Bathroom', '24-hour front desk', 'Key card access', 'Daily housekeeping', 'Non-smoking rooms', 'Safe']","Nehru Road, Ville parle (E), Western Expressway, Near Domestic Airport, 400099 Mumbai, India"
FabExpress Liwa International Andheri East,7.6,Family Room,$159,380 feet²,"['Free WiFi', 'Free parking', 'Air conditioning', 'Private Bathroom', '24-hour front desk', 'Daily housekeeping', 'Non-smoking rooms', 'Elevator', 'Parking on site']","Jijamata Road 3 near Pump house,  Andheri (E), 400093 Mumbai, India"
Royal squad Villa 238,,One-Bedroom Villa,$177,,"['Whole house', 'Kitchen', 'View', 'Pet friendly', 'Swimming pool', 'Free WiFi', 'Terrace', 'Balcony', 'Free parking', 'Air conditioning']","Royal Palms Villa Road, 400065 Mumbai, India"
ibis Mumbai Vikhroli - An Accor Brand,7.7,Standard Queen Room,$319,183 feet²,"['Free parking', 'Pet friendly', 'Restaurant', 'Private Bathroom', 'View', 'Free WiFi', 'Shower', 'Fitness center', 'Minibar', 'Flat-screen TV']","CTS No 17 Lal Bhahdur Shastri Road Vikhroli, 400083 Mumbai, India"
"The Ambassador, Marine Drive, Mumbai",7.5,Deluxe Room,$296,291 feet²,[],"V.N.Road, Off Marine Drive, Churchgate, Churchgate, 400020 Mumbai, India"
City Guest House - Dadar,6.4,Deluxe Double Room,$138,,[],"3, West Wing, 1st Floor, Framroz Court building, Dadasaheb Phalke Road, Above Saraswat Bank, Landmark Near Kailash Lassi, Dadar East , Dadar, 400014 Mumbai, India"
"Treebo Trend Freedom Star, Vile Parle",,Standard Double Room,$182,,"['Free parking', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'Flat-screen TV', 'Family rooms', 'Room service', '24-hour front desk', 'Daily housekeeping']","5 C CTS No 1361 1361 142 Everest Square Shrudhanand Rd, Near Shiv Sagar Hotel, Vile Parle, Mumbai 400057, 400057 Mumbai, India"
FabHotel Axis International,7.5,Deluxe Double Room,$170,,"['Free WiFi', 'Air conditioning', 'Private Bathroom', '24-hour front desk', 'Daily housekeeping', 'Non-smoking rooms']","Shop no 2, T-Square, Sakivihar Road, Opp. Chandivali Petrol Pump, Andheri East,Mumbai-400072, 400072 Mumbai, India"
